timestamp,roll,pitch,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,temperature
2026-05-14T07:14:09,0.92,2.49,97.96,-0.043,0.017,0.998,0.05,-0.04,0.2,-5.92,39.96,2.23,32.7
2026-05-14T07:14:09,0.92,2.5,97.97,-0.043,0.017,0.998,0.04,-0.03,0.2,-5.95,40,2.26,32.7
2026-05-14T07:14:09,0.92,2.5,97.98,-0.044,0.018,0.997,0.04,-0.02,0.2,-5.93,40.01,2.29,32.7
2026-05-14T07:14:09,0.92,2.5,97.99,-0.045,0.018,0.997,0.03,-0.01,0.19,-5.88,40,2.3,32.7
2026-05-14T07:14:09,0.91,2.5,98,-0.046,0.018,0.997,0.02,0,0.19,-5.79,39.95,2.3,32.7
2026-05-14T07:14:09,0.91,2.5,98,-0.046,0.017,0.997,0.01,0.01,0.18,-5.69,39.89,2.28,32.7
2026-05-14T07:14:09,0.9,2.5,98,-0.045,0.017,0.997,0,0.02,0.17,-5.57,39.81,2.26,32.7
2026-05-14T07:14:09,0.9,2.5,98,-0.045,0.016,0.998,-0.01,0.03,0.16,-5.44,39.71,2.22,32.7
2026-05-14T07:14:10,0.89,2.5,97.99,-0.044,0.015,0.998,-0.02,0.04,0.15,-5.32,39.6,2.17,32.7
2026-05-14T07:14:10,0.89,2.5,97.99,-0.043,0.014,0.999,-0.03,0.05,0.14,-5.23,39.51,2.12,32.7
2026-05-14T07:14:10,0.88,2.5,97.98,-0.042,0.014,0.999,-0.04,0.05,0.13,-5.17,39.41,2.06,32.7
2026-05-14T07:14:10,0.87,2.5,97.97,-0.042,0.013,1,-0.04,0.05,0.12,-5.15,39.34,2,32.7
2026-05-14T07:14:10,0.86,2.49,97.96,-0.041,0.013,1,-0.05,0.05,0.1,-5.16,39.27,1.94,32.7
2026-05-14T07:14:10,0.85,2.49,97.94,-0.042,0.013,1.001,-0.05,0.04,0.09,-5.2,39.23,1.88,32.7
2026-05-14T07:14:10,0.84,2.49,97.92,-0.042,0.014,1.001,-0.05,0.03,0.07,-5.28,39.22,1.82,32.7
2026-05-14T07:14:10,0.84,2.48,97.9,-0.043,0.014,1.001,-0.05,0.02,0.06,-5.37,39.23,1.78,32.7
2026-05-14T07:14:10,0.83,2.48,97.88,-0.043,0.015,1.001,-0.04,0.01,0.04,-5.47,39.27,1.74,32.7
2026-05-14T07:14:10,0.82,2.48,97.85,-0.044,0.015,1,-0.03,0,0.03,-5.58,39.34,1.72,32.7
2026-05-14T07:14:11,0.8,2.47,97.82,-0.045,0.016,1,-0.02,-0.01,0.01,-5.68,39.43,1.7,32.7
2026-05-14T07:14:11,0.8,2.47,97.79,-0.045,0.016,0.999,-0.01,-0.02,-0.01,-5.74,39.52,1.7,32.7
2026-05-14T07:14:11,0.79,2.46,97.76,-0.045,0.016,0.999,0,-0.03,-0.02,-5.78,39.62,1.71,32.7
2026-05-14T07:14:11,0.78,2.46,97.73,-0.045,0.015,0.998,0.01,-0.04,-0.04,-5.78,39.73,1.74,32.7
