timestamp,roll,pitch,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,temperature
2026-05-14T12:15:11,-6.14,14.33,329.06,-0.244,-0.12,0.878,-76.31,-46.84,-87.19,11.47,-18.83,6.89,33.2
2026-05-14T12:15:11,-5.74,14.03,320.36,-0.27,-0.012,0.888,-92.61,-55.78,-53.91,8.13,-21.43,3.75,33.2
2026-05-14T12:15:11,-3.63,14.56,311.12,-0.299,0.072,0.85,-79.58,-56.75,-20.67,5.75,-23.71,0.31,33.2
2026-05-14T12:15:11,-0.12,15.29,302.13,-0.308,0.184,0.826,-48.16,-59.67,27.61,4.52,-25.67,-2.88,33.2
2026-05-14T12:15:11,4.37,15.77,295.48,-0.304,0.277,0.804,-15.08,-57.28,68.92,4.84,-27.36,-5.4,33.2
2026-05-14T12:15:11,9.05,15.97,293.97,-0.304,0.358,0.818,1.5,-51.35,65.75,7.71,-27.72,-6.06,33.2
2026-05-14T12:15:11,12.96,15.68,294.97,-0.283,0.407,0.829,27.45,-56.55,64.13,10.4,-27.72,-6.15,33.2
2026-05-14T12:15:12,15.97,15.29,297.19,-0.278,0.4,0.819,52.63,-82.75,65.81,12.73,-27.25,-5.37,33.2
2026-05-14T12:15:12,17.26,16.41,300.02,-0.301,0.31,0.825,36.12,-59.7,39.77,13.93,-25.55,-2.81,33.2
2026-05-14T12:15:12,17.19,17.83,303.01,-0.341,0.251,0.814,48.34,-50.69,18.38,14.82,-24.16,-0.63,33.2
2026-05-14T12:15:12,15.97,19.96,305.9,-0.396,0.222,0.848,30.96,-19.77,2.52,15.31,-22.73,1.49,33.2
2026-05-14T12:15:12,14.28,21.15,308.51,-0.368,0.1,0.872,55.72,8.93,-16.23,15.86,-21.82,3.11,33.2
2026-05-14T12:15:12,11.21,20.99,311.96,-0.338,0.042,0.899,39.03,13.35,-6.64,16.84,-19.91,4.74,33.2
2026-05-14T12:15:12,8.25,20.18,315.53,-0.285,0.008,0.915,17.49,-11.67,9.03,17.76,-18.53,6.03,33.2
2026-05-14T12:15:12,5.09,20.24,318.69,-0.321,-0.074,0.875,4.6,-15.07,-0.96,18.3,-17.5,7.2,33.2
2026-05-14T12:15:12,1.38,21.33,321.2,-0.421,-0.138,0.867,2.58,-4.53,7.78,18.71,-16.88,8.19,33.2
2026-05-14T12:15:12,-2.47,22.7,323.47,-0.453,-0.178,0.855,-6.65,9.79,56,19.64,-15.88,8.85,33.2
2026-05-14T12:15:13,-4.85,22.66,326.36,-0.369,-0.138,0.858,-4.63,19.51,104.9,21.1,-13.8,9.07,33.2
2026-05-14T12:15:13,-5.45,20.74,330.62,-0.24,-0.07,0.883,-1.1,24.11,138.46,22.47,-10.3,8.86,33.2
2026-05-14T12:15:13,-4.8,17.86,336.76,-0.15,-0.054,0.902,10.17,17.64,133.87,22.73,-5.21,7.47,33.2
2026-05-14T12:15:13,-3.56,13.91,343.99,0.001,0.009,0.948,7.1,21.89,119,22.97,-0.56,5.53,33.2
2026-05-14T12:15:13,-1.66,9.01,351.47,0.121,0.066,0.992,3.02,11.35,58.69,23.21,3.45,3.66,33.2
2026-05-14T12:15:13,-0.19,4.67,358.49,0.134,0.04,1.003,-5.08,-4.93,-18.15,23.68,6.01,3.55,33.2
2026-05-14T12:15:13,0.19,2.18,3.98,0.088,0.024,0.997,-15.56,-5.35,-49.41,24.53,6.83,4.27,33.2
2026-05-14T12:15:13,0.26,1.38,7.16,0.028,0.015,0.964,-18.82,-9.21,-74.67,25.49,6.28,5.08,33.2
2026-05-14T12:15:13,-0.11,2.31,7.86,-0.058,-0.029,0.906,-13.49,-17.2,-112.08,26.14,4.64,5.9,33.2
2026-05-14T12:15:13,-1.82,5,5.9,-0.209,-0.127,0.894,-3.63,-19.45,-110.41,25.22,1.31,7,33.2
2026-05-14T12:15:14,-4.39,8.79,2.03,-0.312,-0.177,0.877,-2.08,-11.81,-64.01,24.27,-1.68,7.94,33.2
2026-05-14T12:15:14,-6.81,12.45,357.89,-0.336,-0.199,0.874,1.82,-1.72,-13.82,24.38,-3.56,8.56,33.2
2026-05-14T12:15:14,-8.38,14.83,354.76,-0.303,-0.177,0.874,1.82,16.69,39.53,25.01,-4.03,8.89,33.2
2026-05-14T12:15:14,-8.4,14.59,353.24,-0.175,-0.103,0.92,-4.63,30.28,79.89,26.11,-3.08,8.61,33.2
